""	"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"577"	0	1.32381531360477	0.857	0.473	0	"12"	"Hspb1"
"578"	0	1.30537368436989	0.612	0.283	0	"12"	"Itgb4"
"579"	0	1.27672356585078	0.933	0.7	0	"12"	"Igfbp7"
"580"	0	1.2676458226636	0.584	0.293	0	"12"	"Fzd2"
"581"	0	1.24839095933586	0.697	0.257	0	"12"	"Mfap5"
"582"	0	1.2213314913726	0.685	0.333	0	"12"	"Fxyd6"
"583"	0	1.21952687736689	0.666	0.353	0	"12"	"Slc2a1"
"584"	0	1.21091890230209	0.674	0.333	0	"12"	"Ecm2"
"585"	0	1.20413000962856	0.77	0.532	0	"12"	"Cfh"
"586"	0	1.2017705729087	0.583	0.293	0	"12"	"Ildr2"
"587"	0	1.17410749665565	0.551	0.274	0	"12"	"Ptch1"
"588"	0	1.1731284639283	0.868	0.627	0	"12"	"Ptrf"
"589"	0	1.14193805076335	0.92	0.808	0	"12"	"Neat1"
"590"	0	1.13129198496604	0.678	0.34	0	"12"	"Gas6"
"591"	0	1.12133335060303	0.64	0.369	0	"12"	"Tenm2"
"592"	0	1.11872305335311	0.5	0.187	0	"12"	"Mpzl2"
"593"	0	1.11376250008647	0.613	0.323	0	"12"	"Pcdh19"
"594"	0	1.10328564169997	0.582	0.25	0	"12"	"Actn1"
"595"	0	1.09686150514299	0.807	0.595	0	"12"	"Thbs4"
"596"	0	1.09050816852501	0.902	0.733	0	"12"	"Emp1"
"597"	0	1.06901482387582	0.72	0.488	0	"12"	"Prelp"
"598"	0	1.04151677497219	0.569	0.268	0	"12"	"Itgbl1"
"599"	0	0.98073370719846	0.938	0.769	0	"12"	"Mgp"
"600"	9.00630487003126e-303	1.03232658719411	0.581	0.325	1.80126097400625e-299	"12"	"Sgms2"
"601"	4.37346189595905e-289	1.04627422486707	0.421	0.168	8.74692379191811e-286	"12"	"Lypd2"
"602"	9.64082593833149e-282	0.972578180771606	0.528	0.302	1.9281651876663e-278	"12"	"C2"
